Generation,Reward,Best Controller Weights,Best Structure,Best Fitness,Mean Fitness,Std Fitness,Execution Time
22,0.06478522834870443,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.06478522834870443,0.02308260952156841,0.030054707603577348,2923.5399627685547
23,0.06891124356626172,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.06891124356626172,0.023146800469940713,0.033384423462508875,2923.5399627685547
24,0.09399280263063287,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.09399280263063287,0.02738197458641063,0.03290540422458685,2923.5399627685547
25,0.09399280263063287,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.09399280263063287,0.02848024623692157,0.03395425501895748,2923.5399627685547
26,0.09399280263063287,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.09399280263063287,0.0434170203208938,0.03690007183536547,2923.5399627685547
27,0.09619832460908201,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.09619832460908201,0.04580157230017508,0.04435318140118168,2923.5399627685547
28,0.09619832460908201,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.09619832460908201,0.05737384639145615,0.04538868456382219,2923.5399627685547
29,0.12038560714139523,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.12038560714139523,0.04739498506601579,0.04776302781270673,2923.5399627685547
30,0.19283977605922703,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.19283977605922703,0.057394284996819776,0.05777025823324712,2923.5399627685547
31,0.19283977605922703,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.19283977605922703,0.04871159495560031,0.06272488998363424,2923.5399627685547
32,0.2581147097793172,"[array([[ 0.59812786, -0.92391334, -0.38340408, ...,  0.53602783,
         0.27521027,  1.10348571],
       [ 1.84960313, -1.74201766,  0.21581014, ..., -2.40638079,
         2.53685616,  0.95015327],
       [-1.51069743, -0.49507687,  1.91516499, ...,  0.2030583 ,
         0.1646866 , -1.2986022 ],
       ...,
       [ 1.37030817,  1.10031806, -1.07475126, ...,  1.17231565,
         0.19326616,  1.37520965],
       [-1.28718905, -0.45913638,  0.65066949, ..., -0.396564  ,
        -0.55547088, -1.20568739],
       [ 0.50285982,  0.16199953,  0.5884865 , ..., -1.11452002,
        -2.68996329,  0.2509804 ]]), array([ 1.96347188, -1.09952907,  0.35621362,  0.71807758,  0.64029604,
       -0.17093945, -0.06357794,  0.95215703, -0.22070698,  0.51245364,
        0.19832801, -3.01316991, -1.41932875, -0.05285203, -0.26934956,
        1.63500335]), array([[-0.23058731, -0.26803868,  1.18120388,  0.69358815, -0.68067267,
         0.28663238,  1.36009744,  0.05057309,  0.10893507,  2.62108987,
        -0.28270296,  1.20750752, -0.85020238,  0.52217655, -1.4232872 ,
         0.48571763],
       [ 1.52548567, -1.48515154, -0.48711578, -1.67074819, -0.05693768,
        -1.58755096,  1.68748665, -0.68116791,  0.50527972, -1.6619292 ,
         1.03701681,  0.61748793, -1.04239277, -1.53636587,  0.35822779,
        -0.2037287 ],
       [ 0.95125658, -0.32785829,  1.92992836, -0.73260098, -2.07564762,
         0.50857353,  0.57261807,  0.11531966, -0.57993131, -2.49552529,
        -1.05614432,  0.55776981, -1.39103688,  0.46982421, -0.79393367,
        -0.69499763],
       [-0.84255361, -1.36742767, -1.68115841,  0.97319797,  0.10706611,
         1.18247511,  0.39201257, -1.47233594,  0.57178104,  1.07846712,
         1.62866473,  0.71631178, -0.46369402,  2.3123869 ,  1.39824859,
         1.69336051],
       [ 1.49085571,  0.97411422,  0.50719431,  0.97604847,  0.40170185,
         1.01622177,  0.00883098,  1.73962127,  0.27603998,  0.81426632,
        -2.20951964,  0.08101647, -0.6550387 ,  0.91157246, -1.0798421 ,
         1.12578309]]), array([-0.51342374, -1.62136813, -0.41753024, -0.19335002,  0.80655566])]","[[0.0, 0.0, 0.0, 3.0, 1.0], [2.0, 0.0, 2.0, 0.0, 2.0], [1.0, 2.0, 2.0, 2.0, 3.0], [2.0, 0.0, 2.0, 3.0, 4.0], [1.0, 1.0, 4.0, 1.0, 1.0]]",0.2581147097793172,0.07503531747105911,0.08570100384992756,2923.5399627685547
